antecedent,consequent,support,confidence,lift
"Shield, Sword","Elixir, Wand",0.125,1.0,4.0
"Elixir, Wand","Shield, Sword",0.125,0.5,4.0
"Shield, Sword",Wand,0.125,1.0,2.6666666666666665
"Sword, Wand","Elixir, Shield",0.125,1.0,2.6666666666666665
"Elixir, Shield, Sword",Wand,0.125,1.0,2.6666666666666665
Wand,"Shield, Sword",0.125,0.3333333333333333,2.6666666666666665
Wand,"Elixir, Shield, Sword",0.125,0.3333333333333333,2.6666666666666665
"Elixir, Shield","Sword, Wand",0.125,0.3333333333333333,2.6666666666666665
Wand,"Elixir, Shield",0.25,0.6666666666666666,1.7777777777777777
"Elixir, Shield",Wand,0.25,0.6666666666666666,1.7777777777777777
Wand,Shield,0.375,1.0,1.6
"Elixir, Wand",Shield,0.25,1.0,1.6
Gem,Shield,0.125,1.0,1.6
"Sword, Wand",Shield,0.125,1.0,1.6
"Elixir, Sword, Wand",Shield,0.125,1.0,1.6
Shield,"Elixir, Wand",0.25,0.4,1.6
Shield,Wand,0.375,0.6,1.5999999999999999
Sword,Elixir,0.375,1.0,1.3333333333333333
Giant Wand,Elixir,0.125,1.0,1.3333333333333333
"Shield, Sword",Elixir,0.125,1.0,1.3333333333333333
"Sword, Wand",Elixir,0.125,1.0,1.3333333333333333
"Shield, Sword, Wand",Elixir,0.125,1.0,1.3333333333333333
Elixir,Sword,0.375,0.5,1.3333333333333333
"Elixir, Wand",Sword,0.125,0.5,1.3333333333333333
"Elixir, Shield, Wand",Sword,0.125,0.5,1.3333333333333333
Sword,"Elixir, Wand",0.125,0.3333333333333333,1.3333333333333333
Sword,"Elixir, Shield, Wand",0.125,0.3333333333333333,1.3333333333333333
Wand,Elixir,0.25,0.6666666666666666,0.8888888888888888
"Shield, Wand",Elixir,0.25,0.6666666666666666,0.8888888888888888
Elixir,Wand,0.25,0.3333333333333333,0.8888888888888888
Elixir,"Shield, Wand",0.25,0.3333333333333333,0.8888888888888888
Wand,Sword,0.125,0.3333333333333333,0.8888888888888888
Sword,Wand,0.125,0.3333333333333333,0.8888888888888888
Sword,"Shield, Wand",0.125,0.3333333333333333,0.8888888888888888
"Shield, Wand",Sword,0.125,0.3333333333333333,0.8888888888888888
Sword,"Elixir, Shield",0.125,0.3333333333333333,0.8888888888888888
"Elixir, Shield",Sword,0.125,0.3333333333333333,0.8888888888888888
Wand,"Elixir, Sword",0.125,0.3333333333333333,0.8888888888888888
"Elixir, Sword",Wand,0.125,0.3333333333333333,0.8888888888888888
"Elixir, Sword","Shield, Wand",0.125,0.3333333333333333,0.8888888888888888
"Shield, Wand","Elixir, Sword",0.125,0.3333333333333333,0.8888888888888888
Elixir,Shield,0.375,0.5,0.8
Shield,Elixir,0.375,0.6,0.7999999999999999
Sword,Shield,0.125,0.3333333333333333,0.5333333333333333
"Elixir, Sword",Shield,0.125,0.3333333333333333,0.5333333333333333
